"設置場所","住所","関連HP","緯度","経度"
"黒磯庁舎1、2、3階","栃木県那須塩原市共墾社108－2","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9615724104249","140.045889312283"
"西那須野庁舎1、2、3階","栃木県那須塩原市あたご町2－3","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.8826368946033","139.983434479664"
"塩原庁舎1階","栃木県那須塩原市中塩原1番地2","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9775243373908","139.80936190904"
"ハロープラザ1階","栃木県那須塩原市関谷1266－4","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9455978101771","139.896994221268"
"稲村公民館","栃木県那須塩原市若草町117-1","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9758740009554","140.032374358645"
"高林公民館","栃木県那須塩原市箭坪347-1","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","37.0062104235697","139.945552129303"
"鍋掛公民館","栃木県那須塩原市鍋掛531","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9456880568461","140.101031554584"
"田舎ランド鴫内","栃木県那須塩原市鴫内725","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9966677906161","139.912190016451"
"狩野公民館","栃木県那須塩原市槻沢231番地","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9053968444787","139.999644108519"
"三島公民館","栃木県那須塩原市東三島6丁目337","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9001547391001","139.970604132197"
"青木ふるさと物産センター（道の駅明治の森・黒磯）","栃木県那須塩原市青木27","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","37.0001173189883","139.985159178875"
"地域資源総合管理施設（道の駅湯の香しおばら）","栃木県那須塩原市関谷442番地","https://www.city.nasushiobara.lg.jp/material/files/group/3/wifi_tejun.pdf","36.9555462142408","139.89849330501"
